Time,Channel A,Channel B
(ms),(V),(V)

0.00230281,-2.98628200,0.08612204
0.00231881,-2.98597400,0.08612204
0.00233481,-2.98582100,0.08612204
0.00235081,-2.98551300,0.08612204
0.00236681,-2.98535900,0.08612204
0.00238281,-2.98505200,0.08612204
0.00239881,-2.98489800,0.08612204
0.00241481,-2.98474400,0.08612204
0.00243081,-2.98443700,0.08612204
0.00244681,-2.98428300,0.08612204
0.00246281,-2.98412900,0.08612204
0.00247881,-2.98382100,0.08612204
0.00249481,-2.98366800,0.08612204
0.00251081,-2.98351400,0.08612204
0.00252681,-2.98336000,0.08612204
0.00254281,-2.98320600,0.08612204
0.00255881,-2.98305200,0.08612204
0.00257481,-2.98274500,0.08612204
0.00259081,-2.98259100,0.08612204
0.00260681,-2.98243700,0.08612204
0.00262281,-2.98228300,0.08612204
0.00263881,-2.98213000,0.08612204
0.00265481,-2.98197600,0.08612204
0.00267081,-2.98197600,0.08612204
0.00268681,-2.98243700,0.08612204
0.00270281,-2.98136100,0.08612204
0.00271881,-2.97582400,0.08612204
0.00273481,-2.96890400,0.08612204
0.00275081,-2.96106100,0.08612204
0.00276681,-2.95244800,0.08612204
0.00278281,-2.94322100,0.08612204
0.00279881,-2.93322500,0.08612204
0.00281481,-2.92215200,0.08612204
0.00283081,-2.91000200,0.08612204
0.00284681,-2.89631500,0.08612204
0.00286281,-2.88093600,0.08612204
0.00287881,-2.86371200,0.08612204
0.00289481,-2.84433400,0.08612204
0.00291081,-2.82280400,0.08612204
0.00292681,-2.79896600,0.08612204
0.00294281,-2.77251500,0.08612204
0.00295881,-2.74329500,0.08612204
0.00297481,-2.71130700,0.08612204
0.00299081,-2.67624300,0.08612204
0.00300681,-2.63810300,0.08612204
0.00302281,-2.59658000,0.08612204
0.00303881,-2.55151900,0.08612204
0.00305481,-2.50292200,0.08612204
0.00307081,-2.45063400,0.08612204
0.00308681,-2.39450000,0.08612204
0.00310281,-2.33452300,0.08612204
0.00311881,-2.27054600,0.08612204
0.00313481,-2.20257100,0.08612204
0.00315081,-2.13075200,0.08612204
0.00316681,-2.05478000,0.08612204
0.00318281,-1.97496300,0.08612204
0.00319881,-1.89114800,0.08612204
0.00321481,-1.80348800,0.08612204
0.00323081,-1.71198300,0.08612204
0.00324681,-1.61663400,0.08612204
0.00326281,-1.51790100,0.08612204
0.00327881,-1.41547700,0.08612204
0.00329481,-1.30982400,0.08612204
0.00331081,-1.20109500,0.08612204
0.00332681,-1.08913600,0.08612204
